OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
threads,close,69608250,6521177835,27976832,80896,69892,169142,9544,1921
threads,spread,71972423,6463568866,44921268,96833,61683,43598,9854,3423
x,x,468017135,1532253565,32751407,153316,152636,330152,3,0
sockets,master,148553201,12560560047,33381714,121940,114864,329219,145,289
sockets,close,142979014,17475185454,29329419,96045,104934,178287,4836,891
sockets,spread,153272966,17589933781,32337341,95905,87444,109033,3448,1090
cores,master,2263973115,16952516582,32304807,143294,141173,171761,3,67
cores,close,140834233,17926499596,31340832,85388,73229,127602,16672,2153
cores,spread,140519841,17383475634,32797872,92784,82015,188907,16186,2357
threads,master,4366667258,16474905767,33531836,172034,168522,195487,24,90
threads,close,70368654,6346024375,30046515,77536,53221,431244,14309,3022
threads,spread,68317169,5370360478,22273904,74619,91407,443045,8162,568
x,x,458689033,1480534159,32630423,163420,160461,353038,378,0
sockets,master,174144258,14447345147,34863498,127366,118457,341025,460,306
sockets,close,155813920,17169079784,32210661,100034,92364,101551,3963,1078
sockets,spread,157678359,17675394496,34532189,97948,91391,95795,3810,925
cores,master,2606165762,19302657020,31535369,158461,156660,160423,6,27
cores,close,139871615,18471332494,34116045,95454,72516,182201,14588,2579
cores,spread,139473864,18761072021,32755578,94539,73917,109787,15098,2531
threads,master,4266889365,16074441611,32166295,170318,168109,206066,6,101
threads,close,88067656,7247552507,38066637,101646,81929,61071,7338,2169
threads,spread,88068094,5929992424,36388835,107333,79377,59554,10760,2545
x,x,461038931,1473378819,32762010,154503,154456,333978,405,0
sockets,master,157054260,12934372510,35290606,128059,114010,318878,150,231
sockets,close,149212709,17618853088,32675751,92849,86089,151176,3025,1078
sockets,spread,145928917,18079172914,35977988,106208,92784,84159,4161,1120
cores,master,2604865415,19511115553,32922238,164658,155398,160774,10,70
cores,close,140354431,17698294058,30240304,82760,72032,151360,15117,2072
cores,spread,140767796,17970164877,31381829,88113,71592,124626,16213,1900
threads,master,4321635263,16286220284,32663953,163014,163372,208234,480,61
threads,close,71217732,6472445559,26112624,71653,61022,448616,9326,1781
threads,spread,202237833,17514671663,31403833,120928,106413,131394,13516,1860
x,x,456478562,1485880427,32819028,165004,159749,377867,391,0
sockets,master,151983619,13036570941,33998645,129106,120467,391235,98,150
sockets,close,153280857,17324536913,32134484,91080,88818,147221,4544,839
sockets,spread,158198706,17460079299,34610228,95369,95777,128859,3785,970
