OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
x,x,1424629737,4832592370,143541624,1209990,1108692,638070,0,0
sockets,master,319159078,24669936580,140815604,1524355,1537604,953037,1478,207
sockets,close,212136925,24864091000,151883472,1572338,1466676,1025470,15196,1499
sockets,spread,223229138,23697555850,148422208,1807879,1666812,659418,10801,1496
cores,master,3164795736,23233507413,144731697,740451,734713,215588,312,49
cores,close,202867131,24715304084,148579313,1629237,1479880,1111016,74552,4835
cores,spread,206182332,24748521260,150007053,1555337,1407232,962246,73175,4666
threads,master,5240460217,19477923951,140867767,290499,281076,217683,120,94
threads,close,151659774,13317872691,170160749,1785292,1479553,803898,66225,4442
threads,spread,154147514,13427716506,147584196,1729836,1572835,760191,59803,3818
x,x,1443766964,4781254441,148281900,1354509,1213136,909480,386,0
sockets,master,319478362,24707158130,145773388,1545740,1496719,1019403,1114,246
sockets,close,206013117,24924574670,152123023,1625997,1499322,934061,13528,1718
sockets,spread,210548855,24477857012,144030161,1594578,1533608,967491,11525,1722
cores,master,3243198527,24264673829,142565201,689043,696667,218170,396,72
cores,close,203931870,24008886356,135232315,1578266,1572236,1230309,77073,4106
cores,spread,197114493,24163019949,141511190,1570730,1513834,1129876,75203,4332
threads,master,5269878989,19677664368,139558562,304363,303194,189877,313,81
threads,close,150242822,13161639757,166008644,1786066,1492803,811379,63153,3924
threads,spread,131313690,11235332279,135790876,1883308,1834113,805374,57092,3485
x,x,1428060637,4766167708,143844531,1254470,1186915,755631,3,0
sockets,master,316797834,24554580884,138818077,1478555,1501411,985244,1139,171
sockets,close,209037360,25734476523,144716276,1399132,1374701,1170417,14886,1552
sockets,spread,212847199,24917962841,143673054,1719598,1593996,881577,11121,1699
cores,master,3095909423,22525971384,144454131,738029,730858,222988,125,52
cores,close,203979303,24277838270,140439636,1695679,1582059,1019684,71889,4552
cores,spread,204684266,24931240522,145811489,1587303,1437682,1111469,76100,4617
threads,master,5333681062,19843234825,138268491,288411,287480,216311,317,91
threads,close,157214582,13527560570,142224016,1890148,1811509,1031546,50991,4150
threads,spread,146069003,13989250436,166378997,1764319,1471438,989229,68192,4074
x,x,1427270903,4780730868,137130769,1085995,1111177,658338,3,0
sockets,master,314663360,24850929317,138960449,1492723,1534901,936557,1139,190
sockets,close,229197637,25033591917,146291676,1753379,1646511,908629,14017,1670
sockets,spread,212455958,25479092144,144282554,1456239,1390582,1167247,15638,1462
cores,master,3364193723,24699308700,145899098,704996,695813,212115,38,60
cores,close,203202846,24602405837,141749784,1588890,1475087,946553,69727,4695
cores,spread,193774021,25380706785,146566701,1621535,1482528,1110379,73698,4878
threads,master,5331832630,19592954348,138968712,295315,288617,207557,21,57
threads,close,137697982,13467080706,148814060,1516980,1381752,1607163,77345,3930
threads,spread,162912191,14112183147,145778366,2018680,1849752,766510,48759,3406
x,x,1416107493,4777754225,138237229,1134284,1113685,701145,425,0
sockets,master,227345261,18749676832,145369799,1717229,1711894,1201817,1194,409
sockets,close,215462054,23687297262,151257647,1713768,1576175,967589,13221,1599
sockets,spread,213708546,23553510063,136554152,1634314,1670997,887418,14068,1270
